Lat,Long,Negotiable,Area,NoofBedrooms,NoofBathrooms,FloorType,NoofBalconies,Age,Maint_sqft,Furnished,Facing,OnFloor,NooffloorsinBldg,Parking,PowerBackup,WaterSupply,HousePriceinK
19.21651504,72.85301857,Negotiable,625,1,2,Marble/Granite,1,5-10 years old,5.3,Semi,East,5,7,Bike,NA,Both,1e4
19.07725986,72.88069167,Negotiable,800,2,2,Marble/Granite,1,5-10 years old,0.1,Unfurnished,East,0,1,Bike,NA,Corporation,13e3
19.11172239,72.85643067,Negotiable,900,2,2,Vitrified Tiles,3,>10 years old,1.7,Full,East,0,7,Bike,Full,Corporation,10500
19.06222712,72.9137525,Negotiable,950,1,2,Marble/Granite,0,Newly Constructed,2.6,Unfurnished,East,6,20,Bike and Car,Full,Corporation,10500
19.1605998,72.9441567,Non-negotiable,1165,2,2,Vitrified Tiles,2,1-3 years old,6.9,Unfurnished,North-East,1,36,Bike and Car,Full,Corporation,19e3
19.08402963,72.83338094,Negotiable,876,2,2,Mosaic,3,>10 years old,3.4,Full,West,1,3,Bike and Car,None,Corporation,3e4
19.10215092,72.82691791,Negotiable,1550,3,4,Vitrified Tiles,3,3-5 years old,3.9,Full,South-East,5,5,Bike and Car,NA,Both,69900
19.09813752,72.88480412,Negotiable,1366,3,2,Vitrified Tiles,3,5-10 years old,3.3,Semi,North,3,9,Bike and Car,Full,Both,24500
19.10763674,72.89922008,Negotiable,1150,2,2,Vitrified Tiles,1,5-10 years old,5.2,Semi,East,17,22,Car,Full,Both,21e3
19.16095976,72.83754695,Negotiable,825,2,2,Vitrified Tiles,3,3-5 years old,0,Semi,East,8,13,Bike,None,Both,14500
